Date,Open,High,Low,Close,Volume,ticker,Year,Month,Day
2006-05-16,2.0423897490195273,2.0468883073944553,1.9419196762460218,1.9488173723220825,936740000,AAPL,2006,5,16
2006-05-17,1.9407206483974937,1.9704126712164014,1.9215265354286,1.9572159051895142,754194000,AAPL,2006,5,17
2006-05-18,1.9698115196523005,1.9872069227441707,1.8930348954771143,1.8948343992233276,658442400,AAPL,2006,5,18
2006-05-19,1.8972334830906998,1.9458188815783548,1.8840369224506668,1.9347225427627563,985866000,AAPL,2006,5,19
2006-05-22,1.9155276047084158,1.9191268126262422,1.8825381022194576,1.9008320569992065,718975600,AAPL,2006,5,22
2006-05-23,1.9452199180642238,1.9551163909511302,1.8894362853478877,1.8939348459243774,694414000,AAPL,2006,5,23
2006-05-24,1.8891359874811353,1.9089297280181343,1.8462482149055603,1.8996326923370361,916031200,AAPL,2006,5,24
2006-05-25,1.9272245715167682,1.9329230003596298,1.898132993111063,1.9293237924575806,463372000,AAPL,2006,5,25
2006-05-26,1.9287245515922389,1.9362216841844082,1.8936348237307485,1.9059312343597412,432950000,AAPL,2006,5,26
2006-05-30,1.898133555092257,1.8984334724885727,1.836052656173706,1.836052656173706,563402000,AAPL,2006,5,30
2006-05-31,1.8522464868765969,1.8531466391454068,1.7601738835022165,1.7925647497177124,1280977600,AAPL,2006,5,31
2006-06-01,1.7949638364443639,1.867842332339672,1.7850665664300822,1.864542841911316,942508000,AAPL,2006,6,1
2006-06-02,1.8891360129780934,1.8924345026178848,1.8258548646358477,1.8492478132247925,685787200,AAPL,2006,6,2
2006-06-05,1.833952402936104,1.833952402936104,1.7985629670629641,1.7994623184204102,605785600,AAPL,2006,6,5
2006-06-06,1.8060600008042993,1.8183566078184181,1.7667724435021968,1.791064739227295,726037200,AAPL,2006,6,6
2006-06-07,1.8024624007605468,1.8114595206894861,1.7499780666412736,1.7562761306762695,750506400,AAPL,2006,6,7
2006-06-08,1.7526764094159226,1.8273536041587422,1.7139874836453208,1.8222556114196777,1397482800,AAPL,2006,6,8
2006-06-09,1.83485201948438,1.8462482763890882,1.7724704215880827,1.7766692638397217,775838000,AAPL,2006,6,9
